[g10_d768L12_cf50] regime=pooledcross train neurons=6706 val neurons=2575 mice=33
    ep0 loss=1.802 acc=0.204 sel=0.189 (46s)
    ep1 loss=1.785 acc=0.225 sel=0.201 (91s)
    ep2 loss=1.781 acc=0.246 sel=0.223 (137s)
    ep3 loss=1.778 acc=0.230 sel=0.227 (183s)
    ep4 loss=1.776 acc=0.253 sel=0.237 (228s)
    ep5 loss=1.773 acc=0.240 sel=0.230 (273s)
    ep6 loss=1.771 acc=0.233 sel=0.213 (318s)
    ep7 loss=1.772 acc=0.242 sel=0.231 (363s)
    ep8 loss=1.769 acc=0.255 sel=0.241 (408s)
    ep9 loss=1.771 acc=0.245 sel=0.244 (454s)
    ep10 loss=1.767 acc=0.263 sel=0.240 (499s)
    ep11 loss=1.766 acc=0.233 sel=0.214 (544s)
    ep12 loss=1.761 acc=0.250 sel=0.252 (589s)
    ep13 loss=1.755 acc=0.252 sel=0.229 (635s)
    ep14 loss=1.750 acc=0.260 sel=0.268 (680s)
    ep15 loss=1.741 acc=0.240 sel=0.228 (725s)
    ep16 loss=1.735 acc=0.268 sel=0.214 (770s)
    ep17 loss=1.730 acc=0.250 sel=0.225 (815s)
    ep18 loss=1.728 acc=0.214 sel=0.210 (860s)
    ep19 loss=1.722 acc=0.236 sel=0.220 (905s)
    ep20 loss=1.717 acc=0.226 sel=0.188 (950s)
    ep21 loss=1.713 acc=0.266 sel=0.217 (995s)
    ep22 loss=1.710 acc=0.256 sel=0.222 (1040s)
    ep23 loss=1.706 acc=0.272 sel=0.209 (1084s)
    ep24 loss=1.702 acc=0.270 sel=0.244 (1129s)
    ep25 loss=1.699 acc=0.291 sel=0.232 (1174s)
    ep26 loss=1.694 acc=0.284 sel=0.230 (1219s)
    ep27 loss=1.690 acc=0.273 sel=0.227 (1264s)
    ep28 loss=1.687 acc=0.271 sel=0.220 (1286s)
    ep29 loss=1.685 acc=0.297 sel=0.225 (1325s)
    ep30 loss=1.677 acc=0.285 sel=0.250 (1369s)
    ep31 loss=1.675 acc=0.286 sel=0.227 (1412s)
    ep32 loss=1.670 acc=0.296 sel=0.248 (1456s)
    ep33 loss=1.668 acc=0.294 sel=0.233 (1499s)
    ep34 loss=1.665 acc=0.292 sel=0.221 (1543s)
    ep35 loss=1.661 acc=0.311 sel=0.214 (1587s)
    ep36 loss=1.657 acc=0.289 sel=0.229 (1631s)
    ep37 loss=1.653 acc=0.309 sel=0.219 (1674s)
    ep38 loss=1.645 acc=0.309 sel=0.237 (1718s)
    ep39 loss=1.643 acc=0.301 sel=0.231 (1762s)
    ep40 loss=1.641 acc=0.314 sel=0.252 (1806s)
    ep41 loss=1.633 acc=0.315 sel=0.236 (1850s)
    ep42 loss=1.629 acc=0.334 sel=0.240 (1894s)
    ep43 loss=1.628 acc=0.294 sel=0.216 (1938s)
    ep44 loss=1.623 acc=0.312 sel=0.220 (1982s)
    ep45 loss=1.617 acc=0.317 sel=0.216 (2026s)
    ep46 loss=1.616 acc=0.335 sel=0.210 (2070s)
    ep47 loss=1.612 acc=0.336 sel=0.218 (2114s)
    ep48 loss=1.609 acc=0.323 sel=0.232 (2158s)
    ep49 loss=1.606 acc=0.321 sel=0.218 (2202s)
    ep50 loss=1.602 acc=0.320 sel=0.212 (2246s)
    ep51 loss=1.598 acc=0.320 sel=0.207 (2290s)
    ep52 loss=1.599 acc=0.331 sel=0.218 (2334s)
    ep53 loss=1.595 acc=0.335 sel=0.213 (2378s)
    ep54 loss=1.593 acc=0.324 sel=0.221 (2422s)
    ep55 loss=1.593 acc=0.332 sel=0.210 (2465s)
    ep56 loss=1.591 acc=0.319 sel=0.205 (2509s)
    ep57 loss=1.592 acc=0.322 sel=0.214 (2553s)
    ep58 loss=1.591 acc=0.329 sel=0.215 (2588s)
    ep59 loss=1.591 acc=0.317 sel=0.215 (2630s)
    test-time averaging: acc_avg8=0.260 acc_avg32=0.261
  -> g10_d768L12_cf50: acc=0.260 avg32=0.261 best_epoch=14
SWEEP_GPU10_DONE
ALLEN_STREAM_DONE
