"Name","model_class_str","_wandb","valid_acc"
"model_class_str: fully_connected_dropout","fully_connected_dropout","","1"
"model_class_str: fully_connected_dropout","fully_connected_dropout","","0.9950000047683716"
"model_class_str: fully_connected_dropout","fully_connected_dropout","","1"
"model_class_str: fully_connected_dropout","fully_connected_dropout","","0.9950000047683716"
"model_class_str: fully_connected_dropout","fully_connected_dropout","","1"
"model_class_str: fully_connected","fully_connected","","0.8199999928474426"
"model_class_str: fully_connected","fully_connected","","0.8550000190734863"
"model_class_str: fully_connected","fully_connected","","0.8600000143051147"
"model_class_str: fully_connected","fully_connected","","0.8500000238418579"
"model_class_str: fully_connected","fully_connected","","0.8299999833106995"
