"Step","model_class_str: fully_connected - valid_mse","model_class_str: fully_connected - valid_mse__MIN","model_class_str: fully_connected - valid_mse__MAX"
"50","0.04406290128827095","0.04374758154153824","0.04437822103500366"
"101","0.044489536434412","0.04364519193768501","0.04533388093113899"
"152","0.044091494753956795","0.0438329316675663","0.04435005784034729"
"203","0.04399486258625984","0.043533097952604294","0.04445662721991539"
"254","0.04403563216328621","0.0435110367834568","0.044560227543115616"
"305","0.04402661882340908","0.043721750378608704","0.04433148726820946"
"356","0.04405561462044716","0.04357928782701492","0.044531941413879395"
"407","0.0440093744546175","0.04360372945666313","0.04441501945257187"
"458","0.04396306164562702","0.04364437237381935","0.04428175091743469"
"509","0.04390803538262844","0.043635446578264236","0.044180624186992645"
"560","0.04409070499241352","0.043772000819444656","0.044409409165382385"
"611","0.04432784765958786","0.043656930327415466","0.044998764991760254"
"662","0.043985290452837944","0.04376119375228882","0.04420938715338707"
"713","0.043915415182709694","0.04355449602007866","0.04427633434534073"
"764","0.043959006667137146","0.04358626902103424","0.04433174431324005"
"815","0.04404199868440628","0.04349033907055855","0.04459365829825401"
"866","0.04387808218598366","0.04352347180247307","0.04423269256949425"
"917","0.04400789178907871","0.04382295906543732","0.04419282451272011"
"968","0.043954985216259956","0.0437043271958828","0.044205643236637115"
"1050","0.044001467525959015","0.04367382451891899","0.04432911053299904"
"1101","0.043950267136096954","0.04365056753158569","0.044249966740608215"
"1152","0.044129109010100365","0.04372206702828407","0.044536150991916656"
"1203","0.04396269842982292","0.04366633668541908","0.04425906017422676"
"1254","0.04395139403641224","0.04359615594148636","0.04430663213133812"
"1305","0.04407683201134205","0.04389587789773941","0.04425778612494469"
"1356","0.04393824562430382","0.04361066222190857","0.044265829026699066"
"1407","0.04390879347920418","0.043547045439481735","0.04427054151892662"
"1458","0.04388795793056488","0.043595194816589355","0.044180721044540405"
"1509","0.04405887424945831","0.04348377510905266","0.04463397338986397"
"1560","0.04408996365964413","0.0439700148999691","0.04420991241931915"
"1611","0.043897729367017746","0.04349687695503235","0.04429858177900314"
"1662","0.04392361640930176","0.04357466846704483","0.044272564351558685"
"1713","0.043799981474876404","0.04344729334115982","0.04415266960859299"
"1764","0.04386803321540356","0.043580859899520874","0.04415520653128624"
"1815","0.04384613409638405","0.04350869357585907","0.04418357461690903"
"1866","0.044187283143401146","0.04411953687667847","0.044255029410123825"
"1917","0.04404791444540024","0.043782465159893036","0.04431336373090744"
"1968","0.04389631375670433","0.04352524131536484","0.04426738619804382"
"2050","0.044155560433864594","0.043759774416685104","0.04455134645104408"
"2101","0.0439565759152174","0.04370745271444321","0.04420569911599159"
"2152","0.043799785897135735","0.04346562549471855","0.04413394629955292"
"2203","0.043773092329502106","0.04341660439968109","0.04412958025932312"
"2254","0.04385005868971348","0.0434245727956295","0.044275544583797455"
"2305","0.04382516071200371","0.043442901223897934","0.04420742020010948"
"2356","0.04406024515628815","0.04364356771111488","0.04447692260146141"
"2407","0.04387103021144867","0.043387316167354584","0.044354744255542755"
"2458","0.04381316155195236","0.043504491448402405","0.04412183165550232"
"2509","0.04386519268155098","0.043441224843263626","0.04428916051983833"
"2560","0.04386161454021931","0.04344436153769493","0.04427886754274368"
"2611","0.043865108862519264","0.04353642463684082","0.04419379308819771"
"2662","0.04377409815788269","0.04336749389767647","0.04418070241808891"
"2713","0.04388238675892353","0.043481919914484024","0.04428285360336304"
"2764","0.043781083077192307","0.043374110013246536","0.04418805614113808"
"2815","0.04381545074284077","0.043467748910188675","0.04416315257549286"
"2866","0.04381324723362923","0.04338570684194565","0.044240787625312805"
"2917","0.043898142874240875","0.04337986931204796","0.04441641643643379"
"2968","0.04389074817299843","0.043472208082675934","0.04430928826332092"
"3050","0.04386940598487854","0.04360441491007805","0.04413439705967903"
"3101","0.0438131857663393","0.043513089418411255","0.04411328211426735"
"3152","0.04378356225788593","0.043397206813097","0.044169917702674866"
"3203","0.0439544003456831","0.043583378195762634","0.04432542249560356"
"3254","0.043834956362843513","0.04342973977327347","0.04424017295241356"
"3305","0.0438699834048748","0.043545935302972794","0.04419403150677681"
"3356","0.04381445609033108","0.04345445707440376","0.04417445510625839"
"3407","0.044048285111784935","0.04373594745993614","0.04436062276363373"
"3458","0.04386873170733452","0.043427031487226486","0.04431043192744255"
"3509","0.04388351924717426","0.04352862387895584","0.044238414615392685"
"3560","0.04389682412147522","0.043483976274728775","0.044309671968221664"
"3611","0.043886614963412285","0.04348324239253998","0.04428998753428459"
"3662","0.04386889934539795","0.04346472769975662","0.044273070991039276"
"3713","0.04385438933968544","0.043523889034986496","0.044184889644384384"
"3764","0.04391825199127197","0.0434584803879261","0.044378023594617844"
"3815","0.04399490728974342","0.04350529611110687","0.044484518468379974"
"3866","0.04381849057972431","0.043426621705293655","0.04421035945415497"
"3917","0.043880999088287354","0.043438978493213654","0.04432301968336105"
"3968","0.043805308640003204","0.04340356960892677","0.044207047671079636"
