neuron_count,seed,validation_accuracy,relative_performance
2,10,0.5,1.0
2,11,0.5,1.0
2,12,0.5,1.0
2,13,0.5,1.0
2,14,0.5,1.0
3,10,0.3333333333333333,1.0
3,11,0.3333333333333333,1.0
3,12,0.3333333333333333,1.0
3,13,1.0,3.0
3,14,0.3333333333333333,1.0
4,10,1.0,4.0
4,11,1.0,4.0
4,12,1.0,4.0
4,13,0.5,2.0
4,14,1.0,4.0
5,10,1.0,5.0
5,11,1.0,5.0
5,12,1.0,5.0
5,13,0.2,1.0
5,14,1.0,5.0
6,10,0.6666666666666666,4.0
6,11,1.0,6.0
6,12,1.0,6.0
6,13,1.0,6.0
6,14,1.0,6.0
7,10,0.7142857142857143,5.0
7,11,1.0,7.0
7,12,1.0,7.0
7,13,1.0,7.0
7,14,1.0,7.0
8,10,1.0,8.0
8,11,1.0,8.0
8,12,1.0,8.0
8,13,1.0,8.0
8,14,1.0,8.0
9,10,1.0,9.0
9,11,1.0,9.0
9,12,1.0,9.0
9,13,1.0,9.0
9,14,1.0,9.0
10,10,1.0,10.0
10,11,1.0,10.0
10,12,1.0,10.0
10,13,1.0,10.0
10,14,1.0,10.0
