[c_iv_17M_bins60] func_iv oricirc n_neurons=5287 split_seed=0 bins=2 {'dim': 512, 'layers': 8, 'epochs': 30, 'batch': 64, 'seed': 0, 'n': 512, 'rel_bias': True, 'device': 'cuda', 'early_stop': 0.2, 'sel_reps': 4, 'pops_per_epoch': 5000}
    ep0 loss=0.542 err=31.889 within15=0.371 sel=-36.592 (58s)
    ep1 loss=0.462 err=35.762 within15=0.239 sel=-37.487 (116s)
    ep2 loss=0.416 err=30.251 within15=0.359 sel=-30.787 (173s)
    ep3 loss=0.394 err=28.271 within15=0.393 sel=-27.958 (232s)
    ep4 loss=0.386 err=27.538 within15=0.434 sel=-27.749 (289s)
    ep5 loss=0.372 err=26.260 within15=0.463 sel=-27.118 (347s)
    ep6 loss=0.358 err=26.719 within15=0.443 sel=-26.243 (405s)
    ep7 loss=0.350 err=26.031 within15=0.459 sel=-25.558 (463s)
    ep8 loss=0.334 err=25.286 within15=0.466 sel=-25.547 (521s)
    ep9 loss=0.325 err=25.468 within15=0.459 sel=-25.548 (579s)
    ep10 loss=0.312 err=24.949 within15=0.468 sel=-25.970 (637s)
    ep11 loss=0.301 err=25.217 within15=0.458 sel=-26.328 (695s)
    ep12 loss=0.284 err=24.674 within15=0.461 sel=-27.115 (753s)
    ep13 loss=0.281 err=24.950 within15=0.459 sel=-26.700 (811s)
    ep14 loss=0.250 err=25.355 within15=0.457 sel=-27.447 (869s)
    ep15 loss=0.219 err=25.669 within15=0.446 sel=-28.700 (926s)
    ep16 loss=0.197 err=25.276 within15=0.460 sel=-28.202 (984s)
    ep17 loss=0.159 err=25.505 within15=0.447 sel=-29.290 (1042s)
    ep18 loss=0.126 err=25.592 within15=0.439 sel=-29.200 (1100s)
    ep19 loss=0.099 err=25.551 within15=0.450 sel=-29.964 (1158s)
    ep20 loss=0.077 err=25.833 within15=0.438 sel=-29.408 (1215s)
    ep21 loss=0.063 err=25.300 within15=0.456 sel=-29.589 (1273s)
    ep22 loss=0.052 err=25.626 within15=0.443 sel=-29.771 (1318s)
    ep23 loss=0.045 err=26.174 within15=0.434 sel=-30.181 (1375s)
    ep24 loss=0.041 err=26.003 within15=0.439 sel=-30.324 (1433s)
    ep25 loss=0.037 err=26.033 within15=0.435 sel=-30.246 (1491s)
    ep26 loss=0.035 err=26.022 within15=0.438 sel=-30.414 (1549s)
    ep27 loss=0.033 err=25.912 within15=0.439 sel=-30.183 (1606s)
    ep28 loss=0.033 err=25.817 within15=0.443 sel=-30.166 (1664s)
    ep29 loss=0.033 err=26.002 within15=0.437 sel=-30.237 (1722s)
    test-time averaging: err_avg8=25.252 err_avg32=25.311
  -> c_iv_17M_bins60: err=25.286 within15=0.466 err_modD=25.225 loss=0.033 sel_metric=-25.547 val_at_last_epoch=26.002 err_avg8=25.252 err_avg32=25.311 best_epoch=8 params=17088546 1724s
